Optional	[{:family=>"Ewick", :given=>"Patricia"}, {:family=>"Silbey", :given=>"Susan S."}]	["The Common Place of Law: Stories From Everyday Life (Language and Legal Discourse"]	book		["1998"]
Optional	[{:family=>"Cuba", :given=>"Lee"}]	["A Short Guide to Writing About Social Science"]	book		["2002"]
Optional	[{:family=>"Strunk", :given=>"William"}, {:family=>"White", :given=>"E.B."}]	["The Elements of Style"]	book		["1999"]
Required		["The Law and Society Reader"]	book		["1995"]
Required	[{:family=>"Burnett", :given=>"D.Graham"}]	["A Trial by Jury"]	book		["2002"]
Required	[{:family=>"Carter", :given=>"Leif"}, {:family=>"Burke", :given=>"Tom"}]	["Reason in Law"]	book		["2001"]
Required	[{:family=>"Harr", :given=>"Jonathan"}]	["A Civil Action"]	book		["1996"]
Required	[{:family=>"Sutton", :given=>"John"}]	["Law/Society: Origins, Interactions, and Change"]	book		["2001"]
Optional	[{:family=>"Berman", :given=>"Paul"}]	["An Observation and a Strange but True ‘Tale’: What Might the Historical Trials of Animals Tell Us About the Transformative Potential of Law?"]	article-journal	["Hastings Law Journal"]	["2000-11"]
Optional	[{:family=>"Black", :given=>"Donald"}]	["The Social Organization of Arrest"]	chapter	["Policing Society"]	["1985"]
Optional	[{:family=>"Burke", :given=>"Thomas F.Lawyers"}]	["Lawsuits and Legal Rights: The Battle over Litigation in American Society"]	book		["2002"]
Optional	[{:family=>"Chambliss", :given=>"William J."}]	["A Sociological Analysis of the Law of Vagrancy"]	article-journal	["Social Problems"]	["1964"]
Optional	[{:family=>"Cobb", :given=>"Sara"}]	["The Domestication of Violence in Mediation"]	article-journal	["Law & Society Review"]	["1997"]
Optional	[{:family=>"Cuba", :given=>"Lee"}]	["A Short Guide to Writing About Social Science"]	book		["1992"]
Optional	[{:family=>"Currie", :given=>"Elliott P."}]	["Crimes without Criminals: Witchcraft and Its Control in Renaissance Europe"]	article-journal	["The Social Organization of Law", "Law & Society Review"]	["1968", "1973"]
Optional	[{:family=>"Feeley", :given=>"Malcolm"}]	["The Process is the Punishment"]	book		["1992"]
Optional	[{:family=>"Felstiner", :given=>"William L.F."}, {:family=>"Abel", :given=>"Richard L."}, {:family=>"Sarat", :given=>"Austin"}]	["The Emergence and Transformation of Disputes: Naming, Blaming, Claiming"]	article-journal	["Law & Society Review"]	["1980"]
Optional	[{:family=>"Hall", :given=>"Jerome"}]	["Theft, Law and Society"]			["1952"]
Optional	[{:family=>"Hawthorne", :given=>"Nathaniel"}]	["The Scarlet Letter and Selected Tales"]	book		["1979"]
Optional	[{:family=>"Hay", :given=>"Douglas"}, {:family=>"al", :given=>"Douglas Hay", :particle=>"et."}]	["Property, Authority and the Criminal Law", "Albion’s Fatal Tree: Crime and Society in Eighteenth Century England"]	article-journal	["Chap"]	["1975"]
