author	title	type	collection	year	_merge	category
"[{:family=>""Sullivan"", :given=>""Louis H.""}]"	The Tall Office Building Artistically Considered	article-journal	Lippincott’s Magazine	1896-03	both	Required
	Introduction: Metropolitan District Commission				both	Required
"[{:family=>""McAdow"", :given=>""R.""}]"	The Charles River Basin Study Area	chapter	The Charles River	1992	both	Required
	Metropolitan District Commission				both	Required
	The Old Colony Trust Company			1926	both	Required
"[{:family=>""Ty"", :given=>""Raymond Kieh Sheng""}]"	History and characteristics of man-made fill in Boston and Cambridge”	thesis		1987	both	Required
	The Old Charles River Dam: Committee on Charles River Dam			1903	both	Required
"[{:family=>""Hall"", :given=>""M.""}]"	Flood Control	chapter	The Charles	1986-05	both	Required
	Alternatives for the New Charles River Dam: The Department of the Army New England Division Corps of Engineers	article-journal	Design Memorandum	1972	both	Required
	Historic Back Bay poised to expand commercial focus: With Boston’s office space tighter than ever	article-journal	Boston Business Journal Real Estate Quarterly	January 22-28	both	Required
